Id,Id2,Geography,Total
0500000US08001,8001,"Adams County, Colorado",461558
0500000US08003,8003,"Alamosa County, Colorado",16111
0500000US08005,8005,"Arapahoe County, Colorado",596684
0500000US08007,8007,"Archuleta County, Colorado",12132
0500000US08009,8009,"Baca County, Colorado",3735
0500000US08011,8011,"Bent County, Colorado",6000
0500000US08013,8013,"Boulder County, Colorado",305166
0500000US08014,8014,"Broomfield County, Colorado",59027
0500000US08015,8015,"Chaffee County, Colorado",18121
0500000US08017,8017,"Cheyenne County, Colorado",2153
0500000US08019,8019,"Clear Creek County, Colorado",9114
0500000US08021,8021,"Conejos County, Colorado",8276
0500000US08023,8023,"Costilla County, Colorado",3578
0500000US08025,8025,"Crowley County, Colorado",5558
0500000US08027,8027,"Custer County, Colorado",4274
0500000US08029,8029,"Delta County, Colorado",30378
0500000US08031,8031,"Denver County, Colorado",633777
0500000US08033,8033,"Dolores County, Colorado",1736
0500000US08035,8035,"Douglas County, Colorado",299794
0500000US08037,8037,"Eagle County, Colorado",52233
0500000US08039,8039,"Elbert County, Colorado",23545
0500000US08041,8041,"El Paso County, Colorado",645707
0500000US08043,8043,"Fremont County, Colorado",46879
0500000US08045,8045,"Garfield County, Colorado",56684
0500000US08047,8047,"Gilpin County, Colorado",5557
0500000US08049,8049,"Grand County, Colorado",14478
0500000US08051,8051,"Gunnison County, Colorado",15503
0500000US08053,8053,"Hinsdale County, Colorado",871
0500000US08055,8055,"Huerfano County, Colorado",6550
0500000US08057,8057,"Jackson County, Colorado",1389
0500000US08059,8059,"Jefferson County, Colorado",546162
0500000US08061,8061,"Kiowa County, Colorado",1407
0500000US08063,8063,"Kit Carson County, Colorado",8122
0500000US08065,8065,"Lake County, Colorado",7311
0500000US08067,8067,"La Plata County, Colorado",52547
0500000US08069,8069,"Larimer County, Colorado",311435
0500000US08071,8071,"Las Animas County, Colorado",14789
0500000US08073,8073,"Lincoln County, Colorado",5462
0500000US08075,8075,"Logan County, Colorado",22604
0500000US08077,8077,"Mesa County, Colorado",147509
0500000US08079,8079,"Mineral County, Colorado",704
0500000US08081,8081,"Moffat County, Colorado",13286
0500000US08083,8083,"Montezuma County, Colorado",25569
0500000US08085,8085,"Montrose County, Colorado",40885
0500000US08087,8087,"Morgan County, Colorado",28342
0500000US08089,8089,"Otero County, Colorado",18712
0500000US08091,8091,"Ouray County, Colorado",4532
0500000US08093,8093,"Park County, Colorado",16174
0500000US08095,8095,"Phillips County, Colorado",4385
0500000US08097,8097,"Pitkin County, Colorado",17303
0500000US08099,8099,"Prowers County, Colorado",12359
0500000US08101,8101,"Pueblo County, Colorado",160757
0500000US08103,8103,"Rio Blanco County, Colorado",6739
0500000US08105,8105,"Rio Grande County, Colorado",11840
0500000US08107,8107,"Routt County, Colorado",23428
0500000US08109,8109,"Saguache County, Colorado",6211
0500000US08111,8111,"San Juan County, Colorado",653
0500000US08113,8113,"San Miguel County, Colorado",7597
0500000US08115,8115,"Sedgwick County, Colorado",2365
0500000US08117,8117,"Summit County, Colorado",28482
0500000US08119,8119,"Teller County, Colorado",23363
0500000US08121,8121,"Washington County, Colorado",4781
0500000US08123,8123,"Weld County, Colorado",265066
0500000US08125,8125,"Yuma County, Colorado",10131
